سلام وطندار Radio Salam Watandar FM 98.9	Kabul	Afghanistan	34.555	69.207	https://s10.myradiostream.com/12238/;
Bravia FM	Bucharest	Romania	44.427	26.103	https://s5.radio.co/s0a66e1ff2/listen
Capital FM Dance	Bucharest	Romania	44.427	26.103	http://stream.capitalfm.ro:8020/stream/;
Capital FM Etno	Bucharest	Romania	44.427	26.103	https://radio.sonicpanel.ro/7000/stream
Capital FM Manele	Bucharest	Romania	44.427	26.103	https://ssl.omegahost.ro/8020/stream
Chill FM	Bucharest	Romania	44.427	26.103	https://edge126.rcs-rds.ro/profm/chillfm.mp3
Cross One Radio	Bucharest	Romania	44.427	26.103	https://lb01.bpstream.com:8630/;
Dance FM	Bucharest	Romania	44.427	26.103	https://edge126.rcs-rds.ro/profm/dancefm.mp3
Dark Edge Radio	Bucharest	Romania	44.427	26.103	https://stream.darkedge.ro:8002/stream/4/
Digi 24 FM 103.8	Bucharest	Romania	44.427	26.103	https://edge126.rcs-rds.ro/digifm/digi24fm.mp3
Digi FM 97.9	Bucharest	Romania	44.427	26.103	https://edge76.rcs-rds.ro/digifm/digifm.mp3
DJ Radio Romania	Bucharest	Romania	44.427	26.103	https://stream.djradio.ro/listen/dj_radio_romania/stream.mp3
Europa FM	Bucharest	Romania	44.427	26.103	https://astreaming.edi.ro:8443/EuropaFM_aac
GerlaFM	Bucharest	Romania	44.427	26.103	http://89.39.189.70:8000/;
Gold FM 96.9	Bucharest	Romania	44.427	26.103	https://live.radiogoldfm.ro:8443/WP.mp3
Half Is Enough	Bucharest	Romania	44.427	26.103	https://halfisen.radioca.st/stream
Intuit FM	Bucharest	Romania	44.427	26.103	https://c20.radioboss.fm:8619/stream
Itsy Bitsy FM	Bucharest	Romania	44.427	26.103	http://live.itsybitsy.ro:8000/itsybitsy
Jazz FM	Bucharest	Romania	44.427	26.103	https://s4.radio.co/s1e25bf273/listen
Joyful Radio	Bucharest	Romania	44.427	26.103	https://listen.radioking.com/radio/747262/stream/813904
Kiss - Afro Vibes Volume II by Nico	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/afrovibesbynico
Kiss - Afrokiss By NICO	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/afrokissbynico
Kiss - Back To Work by Marian Boba	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/backtoworkbyboba
Kiss - Bad And Boujee 24/7	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/badandboujee247
Kiss - Clean The House Playlist by Cristi Neacsu	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/cleanthehousebycristineacsu
Kiss - Drive Home Playlist by Boba	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/drivehomebyboba
Kiss - Drive Time Hits by Ana Moga	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/drivetimehitsbyanamoga
Kiss - Favorites By Dimineața de Vară cu Boba & Lucia	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/favoritesbydimineatadevara
Kiss - Headbangers By Soci	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/headbangersbysoci
Kiss - In the Mix	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kkm.radio
Kiss - K&C Drama Soundtracks by Andreea Berghea	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kandcdrama
Kiss - Kiss & Chill	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kissnchill
Kiss - Kiss 4 Love	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kiss4love
Kiss - Kiss Hits from the 10s	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kiss.hits.from.the.10s
Kiss - Kiss Kids By Cristi Nitzu	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kisskidsbynitzu
Kiss - Kiss Kiss in the Summer by DJ Yaang	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kisskisssummer
Kiss - Kiss Millenium Hits	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/milleniumhits
Kiss - Kiss RO Shuffle	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kissroshuffle
Kiss - Let's DUET By Ciprian Dinu	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/letsduetbycipriandinu
Kiss - My Favourites by Andreea Berghea	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/favoritesbyandreeaberghea
Kiss FM	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/kissfm.aacp
Lounge Avenue	Bucharest	Romania	44.427	26.103	https://arlandria.go.ro:7443/lounge
Magic 80s Hits	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/Magic-80s
Magic 90s Hits	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/Magic-90s
Magic FM	Bucharest	Romania	44.427	26.103	https://live.magicfm.ro/magicfm.aacp
Magic Gold Hits	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/magic.gold.hits
Magic Lite	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/magic.lite
Magic Movie Hits	Bucharest	Romania	44.427	26.103	https://dc.digi.live.kissfm.ro/magic-movies
Magic Party Mix	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/magic.party.mix
National FM 91.7 FM	Bucharest	Romania	44.427	26.103	https://asculta.nationalfm.ro:9102/nfm2
Nostalgia Radio 90.2 FM	Bucharest	Romania	44.427	26.103	https://live.radionostalgia.ro:8443/nostalgia.aac
One FM Romania	Bucharest	Romania	44.427	26.103	https://live.onefm.ro:8443/onefm.aacp
PlayMusic FM	Bucharest	Romania	44.427	26.103	https://free.rcast.net/400
ProFM	Bucharest	Romania	44.427	26.103	https://edge126.rcs-rds.ro/profm/profm.mp3
Radio 1 Manele	Bucharest	Romania	44.427	26.103	https://ssl.omegahost.ro/8000/stream
Radio 7 Romania	Bucharest	Romania	44.427	26.103	http://80.86.106.32:8000/radio7.mp3
Radio 90 Hit	Bucharest	Romania	44.427	26.103	https://live.90hit.ro:8000/radio.mp3
Radio A-Tentat	Bucharest	Romania	44.427	26.103	https://ssl.omegahost.ro/8066/stream
Radio Aquila	Bucharest	Romania	44.427	26.103	https://s10.webradio-hosting.com/proxy/schrteam/stream
Radio Bandit	Bucharest	Romania	44.427	26.103	https://pro.radiobandit.ro/listen/bandit/128.aac
Radio Bandit - 90s	Bucharest	Romania	44.427	26.103	https://pro.radiobandit.ro/listen/bandit90/radio.mp3
Radio București FM 98.3	Bucharest	Romania	44.427	26.103	https://stream4.srr.ro:8443/bucuresti-fm
Radio Cafe	Bucharest	Romania	44.427	26.103	https://live.radiocafe.ro:8443
Radio Crazy Romania	Bucharest	Romania	44.427	26.103	https://razvcarp1.radioca.st/;/;stream.mp3
Radio DA	Bucharest	Romania	44.427	26.103	https://stream.radiojar.com/du8khw2d2wzuv
Radio Damici FM	Bucharest	Romania	44.427	26.103	https://fwd.autopo.st/Damici
Radio DEEA	Bucharest	Romania	44.427	26.103	https://radiocdn.nxthost.com/radio-deea
Radio Dor	Bucharest	Romania	44.427	26.103	http://zuicast.digitalag.ro:9420/dor
Radio Fain & Simplu	Bucharest	Romania	44.427	26.103	http://zuicast.digitalag.ro:9420/fainsisimplu
Radio Filadelfia	Bucharest	Romania	44.427	26.103	https://asculta.radiofiladelfia.ro:7000/filadelfia_64.aac
Radio Filadelfia Antiohia	Bucharest	Romania	44.427	26.103	https://live.radiofiladelfia.ro/antiohia_64.aac
Radio Filadelfia Special	Bucharest	Romania	44.427	26.103	https://asculta.radiofiladelfia.ro:7000/special_64.aac
Radio Folclor	Bucharest	Romania	44.427	26.103	https://ssl.omegahost.ro:8092/;
Radio Fx Net	Bucharest	Romania	44.427	26.103	http://89.39.189.112:8458/stream/;
Radio Gangsta Dance	Bucharest	Romania	44.427	26.103	https://dance.radiogangsta.ro:8800/stream/;
Radio Gangsta Manele	Bucharest	Romania	44.427	26.103	http://asculta.radiogangsta.ro:8800/stream/;
Radio GMusic Colinde	Bucharest	Romania	44.427	26.103	https://s9.webradio-hosting.com/proxy/rgmcolinde/stream
Radio GMusic Dance	Bucharest	Romania	44.427	26.103	https://s10.webradio-hosting.com/proxy/rgmdance/stream
Radio GMusic Planet Funk	Bucharest	Romania	44.427	26.103	https://play.webradio-hosting.com:8036/stream
Radio GMusic Relax Garden	Bucharest	Romania	44.427	26.103	https://play.webradio-hosting.com:8002/stream/;
Radio GMusic Retro	Bucharest	Romania	44.427	26.103	https://s9.webradio-hosting.com/proxy/rgmretro/stream
Radio GMusic Rock	Bucharest	Romania	44.427	26.103	https://s9.webradio-hosting.com/proxy/rgmrock/stream
Radio GMusic Soft	Bucharest	Romania	44.427	26.103	https://s9.webradio-hosting.com/proxy/rgmsoft/stream
Radio GMusic Trap	Bucharest	Romania	44.427	26.103	https://s9.webradio-hosting.com/proxy/rgmtrap/stream
Radio Guerilla FM 94.8	Bucharest	Romania	44.427	26.103	https://live.guerrillaradio.ro:8443/guerrilla.aac
Radio HiT FM Petrecere	Bucharest	Romania	44.427	26.103	https://live.radiohitfm.net/8989/stream
Radio Hit Romania	Bucharest	Romania	44.427	26.103	http://live.radio-hit.ro:8500/;
Radio Hot Style	Bucharest	Romania	44.427	26.103	https://live.radiohot.ro/8000/stream
Radio Mega-HiT	Bucharest	Romania	44.427	26.103	https://live.radiomegahit.eu:8080/stream/;
Radio Mega-Hit Chill	Bucharest	Romania	44.427	26.103	https://chill.radiomegahit.eu:8004/stream/;
Radio Mega-HiT Lounge	Bucharest	Romania	44.427	26.103	https://lounge.radiomegahit.eu:8014/stream
Radio Mega-HiT Popular	Bucharest	Romania	44.427	26.103	https://popular.radiomegahit.eu:9000/stream/;
Radio MELODIA	Bucharest	Romania	44.427	26.103	https://radio.sonicpanel.ro:8106/stream
Radio Mix Craiova	Bucharest	Romania	44.427	26.103	http://live.mixcraiova.ro:8241/;
Radio Noise HipHop	Bucharest	Romania	44.427	26.103	https://hiphoplive.radionoise.ro:9110/;
Radio Noise Rock	Bucharest	Romania	44.427	26.103	https://rocklive.radionoise.ro:9130/stream/;
Radio Noise Romania	Bucharest	Romania	44.427	26.103	https://live.radionoise.ro:9100/stream/;
Radio Nova22	Bucharest	Romania	44.427	26.103	https://s2.myradiostream.com:4520/listen.m4a
Radio Oldies Romania	Bucharest	Romania	44.427	26.103	http://listen.radiooldies.ro:9200/;
Radio OM Bun	Bucharest	Romania	44.427	26.103	https://www.radioking.com/play/radio-om-bun1
Radio Petrecăretzu	Bucharest	Romania	44.427	26.103	http://live.radiopetrecaretzu.ro:8383/;
Radio Pro Mix	Bucharest	Romania	44.427	26.103	https://ssl.omegahost.ro:8102/;stream.nsv
Radio Pro-B	Bucharest	Romania	44.427	26.103	https://live.radioprob.ro:8888/;
Radio ProDiaspora	Bucharest	Romania	44.427	26.103	https://online.asculta.eu/listen/prodiaspora/radio.mp3
Radio Romance 21	Bucharest	Romania	44.427	26.103	https://stream.rcast.net/200392
Radio Romania Junior	Bucharest	Romania	44.427	26.103	http://89.238.227.6:8036/;
Radio Romania Muzical 97.6 FM	Bucharest	Romania	44.427	26.103	https://stream4.srr.ro:8443/romania-muzical
Radio Romantic	Bucharest	Romania	44.427	26.103	https://radio-romantic.ro/stream/?index.php.mp3
Radio Romantic Manele Vechi	Bucharest	Romania	44.427	26.103	https://radio-romantic.ro/meniu/manele.php
Radio Romantic Populară	Bucharest	Romania	44.427	26.103	https://radio-romantic.ro/meniu/populara.php
Radio Romantic Teatru Radiofonic	Bucharest	Romania	44.427	26.103	https://radio-romantic.ro/meniu/teatru.php
Radio Romantic Unda Veselă	Bucharest	Romania	44.427	26.103	https://radio-romantic.ro/meniu/umor.php/;
Radio România 3 Net	Bucharest	Romania	44.427	26.103	http://media.3netmedia.ro:8000/Live128
Radio România Actualități	Bucharest	Romania	44.427	26.103	https://stream4.srr.ro:8443/romania-actualitati
Radio România Cultural	Bucharest	Romania	44.427	26.103	https://stream4.srr.ro:8443/romania-cultural
Radio România Internațional 1	Bucharest	Romania	44.427	26.103	https://stream4.srr.ro:8443/romania-rri1
Radio România Internațional 2	Bucharest	Romania	44.427	26.103	https://stream4.srr.ro:8443/romania-rri2
Radio România Internațional 3	Bucharest	Romania	44.427	26.103	https://stream4.srr.ro:8443/romania-rri3
Radio Tequila 100% RO	Bucharest	Romania	44.427	26.103	https://romaneasca.radiotequila.ro/8989/stream
Radio Tequila Hip-Hop	Bucharest	Romania	44.427	26.103	http://necenzurat.radiotequila.ro:7000/;
Radio Tequila Petrecere	Bucharest	Romania	44.427	26.103	https://petrecere.radiotequila.ro/7000/stream
Radio Traditional Manele	Bucharest	Romania	44.427	26.103	https://radio.ascultatare.ro/7000/stream
Radio TRIB	Bucharest	Romania	44.427	26.103	https://streams.radio.co/s78f983952/listen
Radio Trinitas 88.5	Bucharest	Romania	44.427	26.103	https://live.radiotrinitas.ro:8003/;stream.nsv
Radio Unique	Bucharest	Romania	44.427	26.103	https://listen.radiounique.ro/listen/radio_unique_romania/live
Radio X Net Manele	Bucharest	Romania	44.427	26.103	http://asculta.radioxnet.ro:8888/;
Radio Zen	Bucharest	Romania	44.427	26.103	https://streaming.shoutcast.com/radiozen
Radio ZU 89.0 FM	Bucharest	Romania	44.427	26.103	http://zuicast.digitalag.ro:9420/zu
RFI România	Bucharest	Romania	44.427	26.103	https://asculta.radiorfi.ro/live.aac
Rock 80s & 90s	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/rock.8090
Rock FM Ballads	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/ballads.rock
Rock FM Blues	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/blues
Rock FM Hard Rock	Bucharest	Romania	44.427	26.103	https://live.kissfm.ro/hard.rock
Rock FM Romania	Bucharest	Romania	44.427	26.103	https://live.rockfm.ro/rockfm.aacp
Rockradio.ro	Bucharest	Romania	44.427	26.103	https://online.webcastradio.ro/rock-u.aac
RVE Bucuresti	Bucharest	Romania	44.427	26.103	https://streamer.radio.co/sb94ce6fe2/listen
Smart 'N' Roll	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartnroll
Smart AltRo	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartaltro
Smart And Groovy	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartgroovy
Smart Auto Total	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartautototal
Smart Champs-Elysees	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartchampselysees
Smart Christmas	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartforchristmas
Smart FM 107.3	Bucharest	Romania	44.427	26.103	http://live.smartradio.ro:9128/live
Smart In Lounge	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartlounge
Smart Move	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartmove
Smart On Soundtrack	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartsoundtrack
Smart On Trend	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartontrend
Smart Oxford Street	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartoxfordstreet
Smart Rave	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartrave
Smart Street	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartstreet
Smart Sunset Boulevard	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartsunsetbulevard
Smart The Fusion	Bucharest	Romania	44.427	26.103	https://web.smartradio.ro:8443/smartfusion
SRR Antena Satelor	Bucharest	Romania	44.427	26.103	https://stream4.srr.ro:8443/antena-satelor
SRR Bucuresti FM	Bucharest	Romania	44.427	26.103	http://stream2.srr.ro:8032/;
Urban FM 92.7	Bucharest	Romania	44.427	26.103	https://urbanfm.ro:8777/live
Urbansunsets	Bucharest	Romania	44.427	26.103	https://stream.radio.co/sedf8bacc9/listen
UrbanUP Radio	Bucharest	Romania	44.427	26.103	https://s7.everestcast.com:6805/stream
Vibe FM 92.1	Bucharest	Romania	44.427	26.103	https://astreaming.vibefm.ro:8443/vibe_ro64
Virgin Radio FM 100.2	Bucharest	Romania	44.427	26.103	https://astreaming.edi.ro:8443/VirginRadio_aac
Vocea Sperantei FM 94.2	Bucharest	Romania	44.427	26.103	https://live.rvs.ro/play
Whiteheaven Radio	Bucharest	Romania	44.427	26.103	https://asculta.whiteheaven.ro/stream
YOU FM Romania	Bucharest	Romania	44.427	26.103	https://sonic2-rbx.cloud-center.ro/8034/stream
Radio Nebunya Manele	Buftea	Romania	44.563	25.939	https://ssl.radionebunya.ro/7575/stream
Buzz FM 87.9	Buzău	Romania	45.137	26.817	https://radio.sonicpanel.ro:8034/stream
Focus FM	Buzău	Romania	45.137	26.817	http://89.40.72.71:8000/stream
Radio AS Petrecere 95.5 FM	Buzău	Romania	45.137	26.817	http://89.39.189.78:8001/stream/;
Radio Campus FM98	Buzău	Romania	45.137	26.817	https://radio.campusbuzau.ro:8443/CAMPUS.mp3
Radio Folclor Buzău	Buzău	Romania	45.137	26.817	https://live.radiofolclorbuzaufm.ro:8910/stream/;
Radio Pro Manele	Buzău	Romania	45.137	26.817	https://live.radiopromanele.com/8000/stream;
Supersonic Radio	Buzău	Romania	45.137	26.817	https://s5.radio.co/s08e5c5875/listen
Radio Eco Natura	Băicoi	Romania	45.034	25.879	https://stream.radiojar.com/fp5c3fgbyzzuv
Radio Terra	Cernavodă	Romania	44.341	28.037	https://stream.radio-terra.ro/terra.aac
Agnus Radio	Cluj-Napoca	Romania	46.771	23.624	http://radio2.tirek.hu:8000/agnusradio
EBS 90.4 FM	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8010/live128.mp3
EBS Alternative	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8020/alternative320.aac
EBS Blues	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8050/blues320.aac
EBS Cantece de Petrecere	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8170/petrecere320.aac
EBS Classical	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/listen/classical/classical128.mp3
EBS Dolce Vita	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8110/dolcevita320.aac
EBS Electro	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8040/electro320.aac
EBS Fresco	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8120/fresco320.aac
EBS Jazz	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8030/jazz320.aac
EBS Local	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8060/local320.aac
EBS Lounge	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/listen/lounge/lounge128.mp3
EBS Magyar Zene	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8160/hungarian320.aac
EBS Movie Soundtracks	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8100/movies320.aac
EBS Music	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8000/music320.aac
EBS Nostalgie	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/listen/nostalgie/nostalgie128.mp3
EBS Nouvelle Vague	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8130/nouvelle128.mp3
EBS Romanian Folk	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8150/romanianfolk320.aac
EBS Romanian Gold	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8140/romaniangold320.aac
EBS Xmas	Cluj-Napoca	Romania	46.771	23.624	https://azura.ebsmedia.ro/radio/8190/xmas320.aac
Impuls Radio	Cluj-Napoca	Romania	46.771	23.624	https://live.radio-impuls.ro/stream
Kolozsvári Rádió Románia	Cluj-Napoca	Romania	46.771	23.624	http://89.238.227.6:8386/;
Napoca FM 102.2	Cluj-Napoca	Romania	46.771	23.624	https://nfm-s1.bit-ns.cloud/stream1
paprika rádió	Cluj-Napoca	Romania	46.771	23.624	https://stream1.paprikaradio.ro/;
Radio Cuvântul Vieții	Cluj-Napoca	Romania	46.771	23.624	https://ssl.asculta.live:8288/stream/;
Radio Domeldo Live	Cluj-Napoca	Romania	46.771	23.624	https://radiodomeldo.ro/live
Radio Domeldo Movie	Cluj-Napoca	Romania	46.771	23.624	https://radiodomeldo.ro/movie
Radio Renașterea	Cluj-Napoca	Romania	46.771	23.624	https://cast1.asurahosting.com/proxy/arhiepis/stream
Radio România Cluj	Cluj-Napoca	Romania	46.771	23.624	https://stream4.srr.ro:8443/radio-cluj
Radio Transilvania 94.5 FM	Cluj-Napoca	Romania	46.771	23.624	https://stream2.radiotransilvania.ro/Cluj
Radio Vocea Evangheliei Cluj	Cluj-Napoca	Romania	46.771	23.624	https://cj.rve.ro/rvecj.mp3
Radio Wish	Cluj-Napoca	Romania	46.771	23.624	https://s101.radiolize.com/radio/8050/radio.mp3
MB Music Radio	Constanța	Romania	44.160	28.635	https://s33.myradiostream.com/16150/;
Next Radio	Constanța	Romania	44.160	28.635	https://stream.nextradio.live/listen/nextradio/NextHD
Play 90s	Constanța	Romania	44.160	28.635	https://live.playradio.org:8443/90HD
Play Café	Constanța	Romania	44.160	28.635	https://live.playradio.org:8443/CafeHD
Play Radio 91.6 FM	Constanța	Romania	44.160	28.635	https://live.playradio.org:8443/FMHD
Play Urban	Constanța	Romania	44.160	28.635	https://live.playradio.org:8443/UrbanHD
Radio CFM 92.9	Constanța	Romania	44.160	28.635	https://stream2.radiocfm.ro:8443/CFM
Radio Constanța	Constanța	Romania	44.160	28.635	https://stream4.srr.ro:8443/radio-constanta-fm
Radio Dobrogea	Constanța	Romania	44.160	28.635	http://86.122.50.130:7000/;
Radio Doina FM 94.7	Constanța	Romania	44.160	28.635	https://live.radiodoina.ro/radiodoina.mp3
Radio Vacanța - Fresh	Constanța	Romania	44.160	28.635	https://stream4.srr.ro:8443/fresh_rv
Radio Vacanța - Gold	Constanța	Romania	44.160	28.635	https://stream4.srr.ro:8443/gold_rv
Radio Vacanța - Nostalgia	Constanța	Romania	44.160	28.635	https://stream4.srr.ro:8443/nostalgia_rv
Radio Vacanța FM 100.1	Constanța	Romania	44.160	28.635	http://89.238.227.6:8332/;stream/1
Radio Vocea Evangheliei 104.4 FM	Constanța	Romania	44.160	28.635	https://stream.rvect.ro/rvect.mp3
Sky FM 101.1	Constanța	Romania	44.160	28.635	http://89.43.138.116:8000/radiosky.mp3
Sweet FM 95.9	Constanța	Romania	44.160	28.635	https://live.gofm.ro:2000/stream/SWEET/stream.mp3
Space FM Dance	Cosâmbesti	Romania	44.560	27.437	https://spacefm.live/radio/8000/spacefm128
SpaceFM Retro	Cosâmbesti	Romania	44.560	27.437	https://retro.spacefm.live/listen/spacefm_retro/retro128
Radio Oltenia 102.9 FM	Craiova	Romania	44.330	23.795	https://stream4.srr.ro:8443/radio-oltenia
Radio Popular România	Craiova	Romania	44.330	23.795	https://livessl.radiopopular.ro:7777/live
Radio Sud FM 97.4	Craiova	Romania	44.330	23.795	http://media.gds.ro:8500/128.mp3
Muscel FM 94.1	Câmpulung	Romania	45.271	25.053	http://188.27.135.199:8000/muscelfm
Radio Orion FM 96.6	Câmpulung	Romania	45.271	25.053	https://cast.orionfm.ro/listen/orion/public.mp3
Radio Iubire	Călărași	Romania	44.209	27.314	http://89.39.189.24:7070/;
Stil FM Radio	Călărași	Romania	44.209	27.314	http://5.2.233.147:8000/live
Vocea Campi FM 101.1	Călărași	Romania	44.209	27.314	https://vocescampi.ro:8443/;
Stil FM 106.1	Dej	Romania	47.142	23.879	http://92.180.18.201:8000//index.html?sid=1/;?type=http&nocache=45092
Big FM	Deva	Romania	45.866	22.914	http://82.208.143.10:8000/;
Radio Galaxy 100.6 FM	Drobeta-Turnu Severin	Romania	44.637	22.660	http://185.128.240.236:8000/galaxy
Radio Orion 91.7 FM	Fetesti	Romania	44.404	27.798	https://sonic2-rbx.cloud-center.ro/8070/stream
FocsNews Radio	Focșani	Romania	45.696	27.184	https://hello.citrus3.com:2020/stream/focsnews
Radio Dada FM 106.6	Focșani	Romania	45.696	27.184	https://live.laris.ro:8004/radiodada128.mp3
Szépvíz FM 101.7	Frumoasa	Romania	46.455	25.852	https://szepvizfm.ro:8000/;
Radio Clasic FM 90.9	Făgăraș	Romania	45.842	24.973	https://live.radioclasic.com/listen/radio_clasic_fm/live.mp3
Radio Star 90.2 FM	Făgăraș	Romania	45.842	24.973	https://ssl.asculta.live:8310/;
Super FM 88.2	Făgăraș	Romania	45.842	24.973	https://ssl.asculta.live:8308/;
Mood On Music #Deep	Galați	Romania	45.435	28.008	https://ec2.yesstreaming.net:1810/stream
Pro Lider FM 92.4	Galați	Romania	45.435	28.008	http://liderfm.go.ro:8000/stream/1/;
Gherla FM	Gherla	Romania	47.032	23.909	http://89.39.189.52:8000/stream/;
Radio Romanian Colinde	Găești	Romania	44.720	25.316	https://asculta.radioromanian.net/colinde
Radio Romanian Dance	Găești	Romania	44.720	25.316	https://asculta.radioromanian.net/dance
Radio Romanian Disco	Găești	Romania	44.720	25.316	https://asculta.radioromanian.net/disco
Radio Romanian Hip-Hop	Găești	Romania	44.720	25.316	https://asculta.radioromanian.net/hiphop
Radio Romanian Kids	Găești	Romania	44.720	25.316	https://asculta.radioromanian.net/kids
Radio Romanian Manele	Găești	Romania	44.720	25.316	https://asculta.radioromanian.net/manele
Radio Romanian Popular	Găești	Romania	44.720	25.316	https://asculta.radioromanian.net/popular
Radio Romanian Rock	Găești	Romania	44.720	25.316	https://asculta.radioromanian.net/rock
Radio Kibuț	Gărâna	Romania	45.220	22.100	https://www.radioking.com/play/radiokibut
Radio Vocea Evangheliei 98.0 FM	Hunedoara	Romania	45.768	22.907	https://stream.rvehunedoara.ro/rvehd.mp3
Radio Mynele Manele	Huși	Romania	46.676	28.059	https://live.radiomynele.ro:8000/;
Radio Vip FM	Huși	Romania	46.676	28.059	https://live1.radiovip.ro/8969/stream
Ercis FM	Iași	Romania	47.158	27.601	https://stream.zeno.fm/ehbuv5erws8uv
G1 Radio Dance 90's Hits	Iași	Romania	47.158	27.601	https://radiodreams.g1.ro:3399/stream
Radio Armonia	Iași	Romania	47.158	27.601	https://video.bluespot.ro/stream
Radio Doxologia	Iași	Romania	47.158	27.601	https://rlive.doxologia.ro/stream.mp3
Radio Hit	Iași	Romania	47.158	27.601	http://live02.radiohit.ro:8000/hit.mp3
Radio Regional	Iași	Romania	47.158	27.601	https://stream.clever-host.ro/8008/stream
Radio România Iași	Iași	Romania	47.158	27.601	https://stream4.srr.ro:8443/radio-iasi-fm
Radio Terranova	Iași	Romania	47.158	27.601	https://e20.yesstreaming.net:7410/stream
Rock Now Radio	Iași	Romania	47.158	27.601	https://listen.rocknowradio.ro/
Viva FM Iasi	Iași	Romania	47.158	27.601	https://cloud.radiosonicpanel.ro/8002/stream
Radio Lipova	Lipova	Romania	46.089	21.695	http://asculta.radiolipova.ro:1717/;
Radio Transilvania FM 100.4	Luduș	Romania	46.476	24.093	https://stream2.radiotransilvania.ro/Ludus
Copahavana	Mangalia	Romania	43.815	28.574	https://radio.copahavana.ro:8443/radio.mp3
Radio Kiss Mangalia FM (Pyranda)	Mangalia	Romania	43.815	28.574	http://live.adradio.ro:8894/128/;
Radio Transilvania 97.2 FM	Mediaș	Romania	46.157	24.347	https://stream2.radiotransilvania.ro/Medias
Fun FM 87.6	Miercurea Ciuc	Romania	46.370	25.795	http://online.funfm.ro:8000/funfm.mp3
